0.23246,0,-31.5,-168.5
0.39991,0.75,-27,-169
0.7714,0,-25.25,-140.5
0.96613,-0.5,-24,-142.5
1.3464,1,-25.5,-82.5
1.5394,1.5,-25.5,-82.5
1.9165,0,-25.75,-3.5
2.1082,0.5,-24.25,-5.25
2.4852,-0.5,-26.5,74
2.674,0.75,-25.5,75.25
3.0479,0,-29.75,165.5
3.2351,1.5,-31,158
3.6144,0.75,-39,261.25
3.8033,0,-40,252.75
4.1841,0.75,-49.75,353.25
4.3744,1,-48,354.25
4.7591,0.25,-56.75,414.25
4.9468,0.75,-56.5,413.5
5.3281,0.75,-58.25,448.5
5.5205,0.5,-59,448.75
5.9026,0.5,-61.5,459.5
6.0914,0.25,-61,460
6.473,0.75,-63,459
6.6645,1,-61.5,458.5
7.0424,0.25,-61.25,459.5
7.2363,1.25,-61.5,460
7.6191,-1,-10.5,404
7.8094,-0.25,-2.25,403.75
8.1891,0.25,48.25,334
8.3785,-0.25,90,334.25
8.7551,-0.5,127,245.75
8.9492,0.25,203.25,245.25
9.329,-0.75,232,155.75
9.5196,-2,324.75,155.5
9.9025,0.25,388.25,71.5
10.094,0.25,454.25,71.75
10.473,-1.25,526.5,-10.75
10.665,-0.5,565,-11.25
11.041,0.75,645.5,-81.75
11.229,0.75,655.5,-81.25
11.615,1.5,722.5,-120.5
11.803,1.5,714.75,-120.75
12.187,2,723.75,-121.5
12.378,0.5,725.5,-120
12.766,1,726,-121
12.959,1.75,724.75,-120.75
13.346,0.5,717,-119.75
13.537,1.25,716.25,-121
13.92,0.5,668.25,-122
14.114,1.75,661,-121.75
14.5,-2.25,565.75,-125.25
14.692,0.5,581,-124.5
15.078,-3,461.75,-128.75
15.273,0.25,480.5,-126.5
15.659,-1.25,354.75,-132.75
15.85,-0.75,372.25,-133
16.238,-2.25,252.5,-133.75
16.432,-0.5,264,-134.75
16.819,-0.25,156,-135.75
17.013,-0.5,164.75,-135.5
