0.11163,0.20868,-0.015549,-0.036828,4.5628,0.26476,-0.090552,0.045506,8.6,0.32166,0.030146,0.13412,12.725,0.27458,0.16892,0.038264,16.939,0.16371,0.29471,0.13735
0.53013,0.229,-0.10089,0.025924,4.872,0.31042,-0.014455,0.080009,8.8156,0.30235,0.11422,0.13473,12.95,0.22572,0.25022,0.064645,17.245,0.13817,0.25747,0.22007
0.69403,0.22937,-0.098451,0.025074,4.9788,0.32214,-0.0056526,0.12531,9.0091,0.29983,0.12158,0.13563,13.145,0.23083,0.25063,0.092048,17.366,0.093781,0.17206,0.26844
0.86921,0.2297,-0.098696,0.025286,5.1721,0.32226,-0.0052857,0.13188,9.2037,0.29938,0.12286,0.13545,13.343,0.23125,0.25033,0.092568,17.567,0.067647,0.12288,0.26738
1.0694,0.22952,-0.098309,0.025265,5.3801,0.32232,-0.0046719,0.13225,9.4019,0.29922,0.12319,0.13576,13.528,0.23159,0.24993,0.092048,17.768,0.067183,0.12204,0.26745
1.2603,0.22919,-0.098373,0.024824,5.5585,0.3223,-0.0044257,0.1328,9.602,0.29948,0.1225,0.13582,13.728,0.23176,0.24973,0.091724,17.954,0.067563,0.12251,0.26738
1.4537,0.22952,-0.098408,0.025135,5.7526,0.32225,-0.0039333,0.13182,9.7954,0.29947,0.12236,0.13465,13.953,0.23189,0.24968,0.092307,18.383,0.067461,0.1221,0.26749
1.6463,0.22949,-0.098606,0.025165,5.9389,0.32225,-0.0045479,0.13182,9.9924,0.29942,0.12288,0.13606,14.132,0.23136,0.25025,0.092826,18.593,0.067423,0.1217,0.26748
1.8425,0.22904,-0.09841,0.024538,6.1312,0.32232,-0.004303,0.13151,10.188,0.29941,0.12261,0.13613,14.353,0.23137,0.25026,0.092956,18.796,0.067507,0.12208,0.26717
2.0374,0.22932,-0.098534,0.024849,6.3238,0.32209,-0.0044227,0.13177,10.386,0.29938,0.12286,0.13569,14.55,0.23156,0.25009,0.092893,19.246,0.067622,0.12217,0.26758
