0.069424,-0.003509
0.84972,0.00030505
1.0509,0.00030505
1.2499,-0.0019834
1.4472,-0.0027462
1.6422,-0.0057975
1.8641,-0.0061789
2.04,-0.0092302
2.2393,-0.010756
2.4382,-0.027538
2.636,-0.047753
2.836,-0.063009
3.0362,-0.081698
3.2362,-0.10649
3.4359,-0.15455
3.6362,-0.2026
3.8381,-0.25143
4.0391,-0.29529
4.2401,-0.31893
4.4646,-0.31665
4.6423,-0.29872
4.8439,-0.2499
5.0444,-0.17133
5.2456,-0.088182
5.4468,-0.00045777
5.6465,0.048744
5.8463,0.095276
6.0461,0.11816
6.247,0.11435
6.4482,0.1174
6.6491,0.11778
6.8501,0.11702
7.051,0.11549
7.2534,0.11587
7.4533,0.11397
7.6542,0.11511
7.8557,0.11549
8.0568,0.11587
8.2578,0.1132
8.4587,0.11358
8.659,0.11358
8.8602,0.11435
9.061,0.11625
9.2624,0.11549
9.4642,0.11549
9.6644,0.11625
9.866,0.11473
10.067,0.097564
10.268,0.068959
10.469,0.021664
10.694,-0.038217
10.871,-0.090852
11.072,-0.1412
11.271,-0.16408
11.471,-0.16179
11.672,-0.1534
11.873,-0.13166
12.074,-0.096573
12.274,-0.032496
12.474,0.016324
12.678,0.058661
12.879,0.1029
13.102,0.14371
13.277,0.1769
13.478,0.21122
13.68,0.21046
13.883,0.20779
14.084,0.19826
14.286,0.18758
14.489,0.19101
14.69,0.19101
14.892,0.19025
15.095,0.19063
15.297,0.18948
15.5,0.18872
15.701,0.18796
15.903,0.18872
16.105,0.18987
16.307,0.1891
16.509,0.19025
16.711,0.18872
